file,channel,date,video_id,theme,mentions,mentions_per_1k,first_timestamp,substantial
jikh_2026-05-15_yNHYpCLBffw.txt,jikh,2026-05-15,yNHYpCLBffw,rotation_manufacturing,2,0.3972983710766786,0:54,False
jikh_2026-05-15_yNHYpCLBffw.txt,jikh,2026-05-15,yNHYpCLBffw,crypto,1,0.1986491855383393,11:46,False
jikh_2026-05-15_yNHYpCLBffw.txt,jikh,2026-05-15,yNHYpCLBffw,digital_control,28,5.562177195073501,1:29,True
jikh_2026-05-15_yNHYpCLBffw.txt,jikh,2026-05-15,yNHYpCLBffw,housing,1,0.1986491855383393,4:34,False
jikh_2026-05-20_3DYnQMmQk8k.txt,jikh,2026-05-20,3DYnQMmQk8k,oil_energy,15,3.6991368680641186,6:42,True
jikh_2026-05-20_3DYnQMmQk8k.txt,jikh,2026-05-20,3DYnQMmQk8k,inflation,9,2.2194821208384714,4:14,True
jikh_2026-05-20_3DYnQMmQk8k.txt,jikh,2026-05-20,3DYnQMmQk8k,recession_labor,0,0.0,,False
jikh_2026-05-20_3DYnQMmQk8k.txt,jikh,2026-05-20,3DYnQMmQk8k,debt_credit,8,1.972872996300863,1:34,True
jikh_2026-05-20_3DYnQMmQk8k.txt,jikh,2026-05-20,3DYnQMmQk8k,dollar_fx,32,7.891491985203452,1:34,True
jikh_2026-05-20_3DYnQMmQk8k.txt,jikh,2026-05-20,3DYnQMmQk8k,gold_silver,31,7.644882860665844,4:07,True
jikh_2026-05-20_3DYnQMmQk8k.txt,jikh,2026-05-20,3DYnQMmQk8k,ai_tech,5,1.2330456226880395,9:22,True
jikh_2026-05-20_3DYnQMmQk8k.txt,jikh,2026-05-20,3DYnQMmQk8k,valuation_bubble,1,0.2466091245376079,3:00,False
jikh_2026-05-20_3DYnQMmQk8k.txt,jikh,2026-05-20,3DYnQMmQk8k,liquidity_rates,0,0.0,,False
jikh_2026-05-20_3DYnQMmQk8k.txt,jikh,2026-05-20,3DYnQMmQk8k,china_deglobalization,59,14.549938347718866,0:00,True
jikh_2026-05-20_3DYnQMmQk8k.txt,jikh,2026-05-20,3DYnQMmQk8k,rotation_manufacturing,8,1.972872996300863,2:22,True
jikh_2026-05-20_3DYnQMmQk8k.txt,jikh,2026-05-20,3DYnQMmQk8k,crypto,2,0.4932182490752158,20:40,False
jikh_2026-05-20_3DYnQMmQk8k.txt,jikh,2026-05-20,3DYnQMmQk8k,digital_control,5,1.2330456226880395,22:21,True
jikh_2026-05-20_3DYnQMmQk8k.txt,jikh,2026-05-20,3DYnQMmQk8k,housing,3,0.7398273736128237,2:36,False
jikh_2026-05-26_w8yTmTdF1Kw.txt,jikh,2026-05-26,w8yTmTdF1Kw,oil_energy,15,2.7824151363383414,2:43,True
jikh_2026-05-26_w8yTmTdF1Kw.txt,jikh,2026-05-26,w8yTmTdF1Kw,inflation,25,4.637358560563903,1:21,True
jikh_2026-05-26_w8yTmTdF1Kw.txt,jikh,2026-05-26,w8yTmTdF1Kw,recession_labor,0,0.0,,False
jikh_2026-05-26_w8yTmTdF1Kw.txt,jikh,2026-05-26,w8yTmTdF1Kw,debt_credit,39,7.234279354479688,0:00,True
