specification,date,horizon_years,asset,nominal_cumulative_pct,real_cumulative_pct,endpoint,return_kind
expanding_primary,2005-03-31,5,US_market_total,14.722551850812525,1.921412459878158,2010-03,total return
expanding_primary,2005-03-31,5,T_bill_total,14.279078472436302,1.5274233759251077,2010-03,total return
expanding_primary,2005-03-31,5,sector_NoDur,38.819765725076614,23.32977580945419,2010-03,total return
expanding_primary,2005-03-31,5,sector_Durbl,-5.950009314853554,-16.444432783068198,2010-03,total return
expanding_primary,2005-03-31,5,sector_Manuf,33.331885460539866,18.45425221842003,2010-03,total return
expanding_primary,2005-03-31,5,sector_Enrgy,38.10957278557918,22.69882865612778,2010-03,total return
expanding_primary,2005-03-31,5,sector_Chems,31.772684338327117,17.069032153827955,2010-03,total return
expanding_primary,2005-03-31,5,sector_BusEq,33.774006178119784,18.847039576149992,2010-03,total return
expanding_primary,2005-03-31,5,sector_Telcm,11.619440822820204,-0.8354426997254194,2010-03,total return
expanding_primary,2005-03-31,5,sector_Utils,30.003606650039227,15.497354276787423,2010-03,total return
expanding_primary,2005-03-31,5,sector_Shops,24.32519098615684,10.452555885710746,2010-03,total return
expanding_primary,2005-03-31,5,sector_Hlth,23.882557441327567,10.059312923770802,2010-03,total return
expanding_primary,2005-03-31,5,sector_Money,-25.91135764322532,-34.17842477861731,2010-03,total return
expanding_primary,2005-03-31,5,sector_Other,0.8569215555678467,-10.397042817995839,2010-03,total return
expanding_primary,2005-03-31,5,Gold_spot_price,156.4516129032258,127.8358543549567,2010-03,spot price (monthly-average marks)
expanding_primary,1964-07-31,1,US_market_total,6.295203418592954,4.410297974818045,1965-07,total return
expanding_primary,1964-07-31,1,T_bill_total,3.732327524811163,1.8928688986587394,1965-07,total return
expanding_primary,1964-07-31,1,sector_NoDur,8.898434321067072,6.967366454702373,1965-07,total return
expanding_primary,1964-07-31,1,sector_Durbl,10.127288559131475,8.174429737310284,1965-07,total return
expanding_primary,1964-07-31,1,sector_Manuf,10.337590190392465,8.381002143951054,1965-07,total return
expanding_primary,1964-07-31,1,sector_Enrgy,1.7817221102340186,-0.0231469328860201,1965-07,total return
expanding_primary,1964-07-31,1,sector_Chems,4.683670319780697,2.827341777061365,1965-07,total return
expanding_primary,1964-07-31,1,sector_BusEq,9.469320605578059,7.528129359880675,1965-07,total return
expanding_primary,1964-07-31,1,sector_Telcm,-2.8945552404785357,-4.616501062686629,1965-07,total return
expanding_primary,1964-07-31,1,sector_Utils,5.567187386887307,3.69519166375063,1965-07,total return
expanding_primary,1964-07-31,1,sector_Shops,12.60445058382642,10.607664886329825,1965-07,total return
expanding_primary,1964-07-31,1,sector_Hlth,18.044414194251203,15.951163024245485,1965-07,total return
expanding_primary,1964-07-31,1,sector_Money,-2.3567285023052276,-4.088211467432168,1965-07,total return
expanding_primary,1964-07-31,1,sector_Other,5.758828946841477,3.883434893319282,1965-07,total return
expanding_primary,1964-07-31,1,Gold_spot_price,0.34285714285713365,-1.436496878675475,1965-07,spot price (monthly-average marks)
expanding_primary,1964-07-31,3,US_market_total,33.20661674499412,23.714648246398752,1967-07,total return
expanding_primary,1964-07-31,3,T_bill_total,13.143202321148518,5.080902275509791,1967-07,total return
expanding_primary,1964-07-31,3,sector_NoDur,38.59096730761027,28.715323529403314,1967-07,total return
expanding_primary,1964-07-31,3,sector_Durbl,22.54835528064689,13.815867688792416,1967-07,total return
expanding_primary,1964-07-31,3,sector_Manuf,62.90722958813386,51.298870114488416,1967-07,total return
expanding_primary,1964-07-31,3,sector_Enrgy,23.869325076947923,15.042708499608537,1967-07,total return
expanding_primary,1964-07-31,3,sector_Chems,11.177247877020125,3.2550368007534303,1967-07,total return
expanding_primary,1964-07-31,3,sector_BusEq,97.99652487818615,83.88779047069865,1967-07,total return
expanding_primary,1964-07-31,3,sector_Telcm,-10.78553593818059,-17.14273427551981,1967-07,total return
expanding_primary,1964-07-31,3,sector_Utils,3.082830635549527,-4.262592625306983,1967-07,total return
expanding_primary,1964-07-31,3,sector_Shops,22.547041179502635,13.81464722719079,1967-07,total return
expanding_primary,1964-07-31,3,sector_Hlth,71.12460541157368,58.930696403204074,1967-07,total return
expanding_primary,1964-07-31,3,sector_Money,20.79300790565601,12.185601953097303,1967-07,total return
expanding_primary,1964-07-31,3,sector_Other,75.49084825959386,62.98581176684439,1967-07,total return
expanding_primary,1964-07-31,3,Gold_spot_price,0.0,-7.125748502994,1967-07,spot price (monthly-average marks)
expanding_primary,1964-07-31,5,US_market_total,37.08878493504173,15.556905127309628,1969-07,total return
expanding_primary,1964-07-31,5,T_bill_total,25.40254458284572,5.70616665651833,1969-07,total return
expanding_primary,1964-07-31,5,sector_NoDur,45.898010148670124,22.982507467710533,1969-07,total return
expanding_primary,1964-07-31,5,sector_Durbl,15.709919019157216,-2.4640845659169353,1969-07,total return
expanding_primary,1964-07-31,5,sector_Manuf,58.516205775931816,33.61882345569036,1969-07,total return
expanding_primary,1964-07-31,5,sector_Enrgy,37.42254786706074,15.83824551185391,1969-07,total return
expanding_primary,1964-07-31,5,sector_Chems,8.579439899087138,-8.474613432889043,1969-07,total return
expanding_primary,1964-07-31,5,sector_BusEq,114.80831529974074,81.06940055972711,1969-07,total return
expanding_primary,1964-07-31,5,sector_Telcm,-7.313551564654819,-21.871368737380227,1969-07,total return
expanding_primary,1964-07-31,5,sector_Utils,2.472781764601417,-13.622127979947397,1969-07,total return
expanding_primary,1964-07-31,5,sector_Shops,52.21925414916247,28.310903905082064,1969-07,total return
expanding_primary,1964-07-31,5,sector_Hlth,84.37851091034135,55.419060011923605,1969-07,total return
expanding_primary,1964-07-31,5,sector_Money,56.38057673008659,31.81862745019799,1969-07,total return
expanding_primary,1964-07-31,5,sector_Other,58.45908306793939,33.57067273824674,1969-07,total return
expanding_primary,1964-07-31,5,Gold_spot_price,19.99999999999995,1.1521739130434305,1969-07,spot price (monthly-average marks)
expanding_primary,1993-11-30,1,US_market_total,0.4235015455335889,-2.123957105154184,1994-11,total return
expanding_primary,1993-11-30,1,T_bill_total,3.690805124887264,1.0604642739221681,1994-11,total return
expanding_primary,1993-11-30,1,sector_NoDur,2.5471317286773765,-0.0541973805948226,1994-11,total return
expanding_primary,1993-11-30,1,sector_Durbl,-14.34037798829083,-16.513319000603886,1994-11,total return
expanding_primary,1993-11-30,1,sector_Manuf,2.6710126537171863,0.06654103766827735,1994-11,total return
expanding_primary,1993-11-30,1,sector_Enrgy,4.235684312331411,1.5915214259037747,1994-11,total return
expanding_primary,1993-11-30,1,sector_Chems,11.6786741260972,8.845703754407142,1994-11,total return
expanding_primary,1993-11-30,1,sector_BusEq,19.147679617952583,16.12524181723014,1994-11,total return
expanding_primary,1993-11-30,1,sector_Telcm,-6.478048264281167,-8.850434222864155,1994-11,total return
expanding_primary,1993-11-30,1,sector_Utils,-10.053078718079721,-12.334776320691853,1994-11,total return
expanding_primary,1993-11-30,1,sector_Shops,-7.196736142450366,-9.550891033362841,1994-11,total return
expanding_primary,1993-11-30,1,sector_Hlth,9.270619271916235,6.498734403870299,1994-11,total return
expanding_primary,1993-11-30,1,sector_Money,-0.8344765956041167,-3.3500239182790548,1994-11,total return
expanding_primary,1993-11-30,1,sector_Other,-8.894632513568546,-11.205716602009396,1994-11,total return
expanding_primary,1993-11-30,1,Gold_spot_price,2.673796791443861,0.06925454973834011,1994-11,spot price (monthly-average marks)
expanding_primary,1993-11-30,3,US_market_total,70.86027007099402,57.187141968274304,1996-11,total return
expanding_primary,1993-11-30,3,T_bill_total,15.16687543406887,5.950622642558656,1996-11,total return
