specification,horizon_years,return_basis,asset,n,median,mean,minimum,maximum,negative_pct
original_expanding_recomputed,5,nominal,Enrgy minus MKT,8,10.37189084,20.03406119,-86.97144535,111.3400967,25
original_expanding_recomputed,5,nominal,Hlth minus MKT,8,5.727142737,8.693185378,-35.67608757,63.36992711,50
original_expanding_recomputed,5,nominal,Manuf minus MKT,8,-6.411918019,-2.235929976,-38.46871145,40.9492273,62.5
original_expanding_recomputed,5,nominal,Money minus MKT,8,16.2568184,12.4505446,-41.66772269,42.65355545,37.5
original_expanding_recomputed,5,nominal,NoDur minus MKT,8,7.100129405,2.55030296,-46.26156956,41.90806892,37.5
original_expanding_recomputed,5,nominal,Other minus MKT,8,-13.80872555,-15.99938384,-63.28325873,25.28687238,87.5
original_expanding_recomputed,5,nominal,Shops minus MKT,8,21.78951062,24.36371049,-21.5731337,80.14235295,25
original_expanding_recomputed,5,nominal,Telcm minus MKT,8,-19.81353436,-18.33888778,-88.22328526,58.25314718,75
original_expanding_recomputed,5,nominal,Utils minus MKT,8,-5.429463442,1.040527557,-21.22331275,35.23472786,62.5
original_expanding_recomputed,5,real,MKT,8,26.45326977,25.54347893,-31.79552423,73.04571588,25
original_expanding_recomputed,5,real,CASH,8,-2.381351946,0.783761043,-7.77403644,13.45069564,62.5
original_expanding_recomputed,5,real,NoDur,8,25.43810842,26.87314068,-31.21133935,89.11883486,12.5
original_expanding_recomputed,5,real,Durbl,8,-1.136777112,6.943680786,-33.59728975,66.65502232,50
original_expanding_recomputed,5,real,Manuf,8,35.32573618,24.72436819,-37.07233613,78.02828874,25
original_expanding_recomputed,5,real,Enrgy,8,39.19313055,40.89643735,-34.03442823,133.3462508,37.5
original_expanding_recomputed,5,real,Chems,8,25.52757092,14.05451031,-39.90421448,39.12601658,25
original_expanding_recomputed,5,real,BusEq,8,30.10808042,32.1191131,-38.17671008,102.7770282,50
original_expanding_recomputed,5,real,Telcm,8,12.23344594,9.921266265,-37.67273816,55.10145959,25
original_expanding_recomputed,5,real,Utils,8,28.86607456,26.25762818,-7.746424267,65.20964431,12.5
original_expanding_recomputed,5,real,Shops,8,43.88686331,45.22517191,-46.52004406,116.1840775,12.5
original_expanding_recomputed,5,real,Hlth,8,32.66296534,33.40298543,-53.92076113,123.9753419,25
original_expanding_recomputed,5,real,Money,8,43.29510091,35.69453594,-43.56480632,110.5087913,25
original_expanding_recomputed,5,real,Other,8,10.91351162,11.20915415,-31.84646646,79.6681772,37.5
original_expanding_recomputed,5,real,BusEq minus MKT,8,1.657954033,6.575634166,-29.63450343,44.00412416,50
original_expanding_recomputed,5,real,Chems minus MKT,8,-15.38837339,-11.48896862,-61.01050598,30.14295451,62.5
original_expanding_recomputed,5,real,Durbl minus MKT,8,-14.23253658,-18.59979815,-56.46750558,3.819673854,75
original_expanding_recomputed,5,real,Enrgy minus MKT,8,8.619004011,15.35295842,-80.71062958,90.96311238,25
original_expanding_recomputed,5,real,Hlth minus MKT,8,3.781109496,7.859506502,-29.14680388,50.92962603,50
original_expanding_recomputed,5,real,Manuf minus MKT,8,-4.937986444,-0.8191107461,-25.60764423,36.14375128,62.5
original_expanding_recomputed,5,real,Money minus MKT,8,12.67207611,10.15105701,-37.62971062,37.46307537,37.5
original_expanding_recomputed,5,real,NoDur minus MKT,8,6.181278412,1.329661743,-37.7949766,37.84676494,37.5
