window,specification,sample,month,cape_pct,credit_pct
matched_screen,unconditional_same_eligible_months,monthly_pool,1984-07,,
matched_screen,unconditional_same_eligible_months,monthly_pool,1984-08,,
matched_screen,unconditional_same_eligible_months,monthly_pool,1984-09,,
matched_screen,unconditional_same_eligible_months,monthly_pool,1984-10,,
matched_screen,unconditional_same_eligible_months,monthly_pool,1984-11,,
matched_screen,unconditional_same_eligible_months,monthly_pool,1984-12,,
matched_screen,unconditional_same_eligible_months,monthly_pool,1985-01,,
matched_screen,unconditional_same_eligible_months,monthly_pool,1985-02,,
matched_screen,unconditional_same_eligible_months,monthly_pool,1985-03,,
matched_screen,unconditional_same_eligible_months,monthly_pool,1985-04,,
matched_screen,unconditional_same_eligible_months,monthly_pool,1985-05,,
matched_screen,unconditional_same_eligible_months,monthly_pool,1985-06,,
matched_screen,unconditional_same_eligible_months,monthly_pool,1985-07,,
matched_screen,unconditional_same_eligible_months,monthly_pool,1985-08,,
matched_screen,unconditional_same_eligible_months,monthly_pool,1985-09,,
matched_screen,unconditional_same_eligible_months,monthly_pool,1985-10,,
matched_screen,unconditional_same_eligible_months,monthly_pool,1985-11,,
matched_screen,unconditional_same_eligible_months,monthly_pool,1985-12,,
matched_screen,unconditional_same_eligible_months,monthly_pool,1986-01,,
matched_screen,unconditional_same_eligible_months,monthly_pool,1986-02,,
matched_screen,unconditional_same_eligible_months,monthly_pool,1986-03,,
matched_screen,unconditional_same_eligible_months,monthly_pool,1986-04,,
matched_screen,unconditional_same_eligible_months,monthly_pool,1986-05,,
matched_screen,unconditional_same_eligible_months,monthly_pool,1986-06,,
matched_screen,unconditional_same_eligible_months,monthly_pool,1986-07,,
matched_screen,unconditional_same_eligible_months,monthly_pool,1986-08,,
matched_screen,unconditional_same_eligible_months,monthly_pool,1986-09,,
matched_screen,unconditional_same_eligible_months,monthly_pool,1986-10,,
matched_screen,unconditional_same_eligible_months,monthly_pool,1986-11,,
matched_screen,unconditional_same_eligible_months,monthly_pool,1986-12,,
matched_screen,unconditional_same_eligible_months,monthly_pool,1987-01,,
matched_screen,unconditional_same_eligible_months,monthly_pool,1987-02,,
matched_screen,unconditional_same_eligible_months,monthly_pool,1987-03,,
matched_screen,unconditional_same_eligible_months,monthly_pool,1987-04,,
matched_screen,unconditional_same_eligible_months,monthly_pool,1987-05,,
matched_screen,unconditional_same_eligible_months,monthly_pool,1987-06,,
matched_screen,unconditional_same_eligible_months,monthly_pool,1987-07,,
matched_screen,unconditional_same_eligible_months,monthly_pool,1987-08,,
matched_screen,unconditional_same_eligible_months,monthly_pool,1987-09,,
matched_screen,unconditional_same_eligible_months,monthly_pool,1987-10,,
matched_screen,unconditional_same_eligible_months,monthly_pool,1987-11,,
matched_screen,unconditional_same_eligible_months,monthly_pool,1987-12,,
matched_screen,unconditional_same_eligible_months,monthly_pool,1988-01,,
matched_screen,unconditional_same_eligible_months,monthly_pool,1988-02,,
matched_screen,unconditional_same_eligible_months,monthly_pool,1988-03,,
matched_screen,unconditional_same_eligible_months,monthly_pool,1988-04,,
matched_screen,unconditional_same_eligible_months,monthly_pool,1988-05,,
matched_screen,unconditional_same_eligible_months,monthly_pool,1988-06,,
matched_screen,unconditional_same_eligible_months,monthly_pool,1988-07,,
matched_screen,unconditional_same_eligible_months,monthly_pool,1988-08,,
matched_screen,unconditional_same_eligible_months,monthly_pool,1988-09,,
matched_screen,unconditional_same_eligible_months,monthly_pool,1988-10,,
matched_screen,unconditional_same_eligible_months,monthly_pool,1988-11,,
matched_screen,unconditional_same_eligible_months,monthly_pool,1988-12,,
matched_screen,unconditional_same_eligible_months,monthly_pool,1989-01,,
matched_screen,unconditional_same_eligible_months,monthly_pool,1989-02,,
matched_screen,unconditional_same_eligible_months,monthly_pool,1989-03,,
matched_screen,unconditional_same_eligible_months,monthly_pool,1989-04,,
matched_screen,unconditional_same_eligible_months,monthly_pool,1989-05,,
matched_screen,unconditional_same_eligible_months,monthly_pool,1989-06,,
matched_screen,unconditional_same_eligible_months,monthly_pool,1989-07,,
matched_screen,unconditional_same_eligible_months,monthly_pool,1989-08,,
