specification,horizon_years,return_basis,asset,window,sample,n,median,mean,minimum,maximum,negative_pct
unconditional_same_eligible_months,5,real,Manuf,matched_screen,monthly_pool,684,37.24201811,43.19610294,-45.45689231,236.6527151,17.83625731
unconditional_same_eligible_months,5,real,Enrgy,matched_screen,monthly_pool,684,34.50444839,42.98260395,-58.35614589,222.0521072,18.2748538
unconditional_same_eligible_months,5,real,Chems,matched_screen,monthly_pool,684,33.15276367,39.74196266,-39.90421448,250.3028609,19.29824561
unconditional_same_eligible_months,5,real,BusEq,matched_screen,monthly_pool,684,31.38488074,56.18911469,-68.96979323,525.9814451,27.48538012
unconditional_same_eligible_months,5,real,Telcm,matched_screen,monthly_pool,684,25.76502741,41.18262581,-63.12728667,253.5259381,30.40935673
unconditional_same_eligible_months,5,real,Utils,matched_screen,monthly_pool,684,33.1706563,35.45085506,-44.0412248,168.5203186,18.2748538
unconditional_same_eligible_months,5,real,Shops,matched_screen,monthly_pool,684,51.15502149,53.14964745,-52.48456939,265.2652016,19.15204678
unconditional_same_eligible_months,5,real,Hlth,matched_screen,monthly_pool,684,46.44486179,54.25608441,-53.92076113,283.2735626,19.44444444
unconditional_same_eligible_months,5,real,Money,matched_screen,monthly_pool,684,46.77544448,50.86756428,-66.12466056,216.5763011,20.1754386
unconditional_same_eligible_months,5,real,Other,matched_screen,monthly_pool,684,32.70979397,29.46928886,-63.67407154,194.724192,28.80116959
unconditional_same_eligible_months,5,real,BusEq minus MKT,matched_screen,monthly_pool,684,1.227927254,12.67623191,-101.245898,347.5957857,47.51461988
unconditional_same_eligible_months,5,real,Chems minus MKT,matched_screen,monthly_pool,684,-0.9424007997,-3.770920116,-126.2093721,65.37132212,51.31578947
unconditional_same_eligible_months,5,real,Durbl minus MKT,matched_screen,monthly_pool,684,-8.241446046,-0.8410211219,-111.2258887,239.2316653,66.52046784
unconditional_same_eligible_months,5,real,Enrgy minus MKT,matched_screen,monthly_pool,684,2.285609296,-0.5302788238,-129.487092,187.0483766,47.95321637
unconditional_same_eligible_months,5,real,Hlth minus MKT,matched_screen,monthly_pool,684,7.01569136,10.74320164,-55.72947161,122.8314878,37.42690058
unconditional_same_eligible_months,5,real,Manuf minus MKT,matched_screen,monthly_pool,684,-3.901504302,-0.3167798323,-64.88980039,72.63041842,57.60233918
unconditional_same_eligible_months,5,real,Money minus MKT,matched_screen,monthly_pool,684,6.194748919,7.354681509,-51.9775488,113.4326783,41.95906433
unconditional_same_eligible_months,5,real,NoDur minus MKT,matched_screen,monthly_pool,684,5.743477035,9.767192299,-123.7603884,135.1618577,41.37426901
unconditional_same_eligible_months,5,real,Other minus MKT,matched_screen,monthly_pool,684,-13.55194583,-14.04359391,-127.5480458,51.86512444,78.21637427
unconditional_same_eligible_months,5,real,Shops minus MKT,matched_screen,monthly_pool,684,8.65885036,9.636764672,-65.7058679,105.2440262,33.77192982
unconditional_same_eligible_months,5,real,Telcm minus MKT,matched_screen,monthly_pool,684,-5.254848999,-2.330256967,-87.20393543,120.7209588,55.84795322
unconditional_same_eligible_months,5,real,Utils minus MKT,matched_screen,monthly_pool,684,-7.251564397,-8.062027716,-149.2532145,77.87289776,58.91812865
full_history_original,1,nominal,MKT,matched_screen,monthly_pool,24,17.94458017,16.17366788,-15.77796299,48.39216251,20.83333333
full_history_original,1,nominal,CASH,matched_screen,monthly_pool,24,5.000989018,4.647425244,0.040003,6.019866931,0
full_history_original,1,nominal,NoDur,matched_screen,monthly_pool,24,9.652452933,10.84202314,-7.545361776,36.41246608,33.33333333
full_history_original,1,nominal,Durbl,matched_screen,monthly_pool,24,13.9667695,17.94040326,-16.46546168,54.34991878,16.66666667
full_history_original,1,nominal,Manuf,matched_screen,monthly_pool,24,6.363582024,7.860454288,-19.06049698,39.06785186,29.16666667
full_history_original,1,nominal,Enrgy,matched_screen,monthly_pool,24,11.56435901,13.68164413,-14.0840287,81.31184522,37.5
full_history_original,1,nominal,Chems,matched_screen,monthly_pool,24,1.864453693,6.50435558,-10.42793626,37.1622714,37.5
full_history_original,1,nominal,BusEq,matched_screen,monthly_pool,24,37.2998382,28.98830966,-52.17701301,104.0432282,25
full_history_original,1,nominal,Telcm,matched_screen,monthly_pool,24,45.37915724,32.09472231,-40.08912236,73.731335,20.83333333
full_history_original,1,nominal,Utils,matched_screen,monthly_pool,24,19.17997666,19.78208567,-5.709307116,50.37024435,4.166666667
full_history_original,1,nominal,Shops,matched_screen,monthly_pool,24,24.97230029,23.72166019,-21.53489747,54.36585164,12.5
full_history_original,1,nominal,Hlth,matched_screen,monthly_pool,24,27.58759487,25.32122677,-9.335940675,55.33101989,8.333333333
full_history_original,1,nominal,Money,matched_screen,monthly_pool,24,11.01904587,17.89871573,-10.65011117,61.37193132,16.66666667
full_history_original,1,nominal,Other,matched_screen,monthly_pool,24,0.4152606321,4.233871795,-25.24022414,39.72772345,45.83333333
full_history_original,1,nominal,BusEq minus MKT,matched_screen,monthly_pool,24,3.526425633,12.81464177,-36.39905002,64.74694209,33.33333333
full_history_original,1,nominal,Chems minus MKT,matched_screen,monthly_pool,24,-10.62887431,-9.669312304,-26.87136525,16.64467423,83.33333333
full_history_original,1,nominal,Durbl minus MKT,matched_screen,monthly_pool,24,3.887858838,1.76673538,-21.08228036,20.6983777,41.66666667
full_history_original,1,nominal,Enrgy minus MKT,matched_screen,monthly_pool,24,-13.65323148,-2.492023752,-29.04202579,86.54618203,75
