spec,gap_months,cutoff,rank,date,horizon,asset,real_return
original_full_sample,60,2021-07-01,3,1946-06-01,1,CASH,-14.693494594759082
original_full_sample,60,2021-07-01,3,1946-06-01,1,GOLD,
original_full_sample,60,2021-07-01,3,1946-06-01,1,Enrgy,-16.38279121286971
original_full_sample,60,2021-07-01,3,1946-06-01,1,BusEq,-34.310552584718025
original_full_sample,60,2021-07-01,3,1946-06-01,1,Telcm,-30.22337520586441
original_full_sample,60,2021-07-01,3,1946-06-01,3,MKT,-32.22730350152393
original_full_sample,60,2021-07-01,3,1946-06-01,3,CASH,-20.121400983219907
original_full_sample,60,2021-07-01,3,1946-06-01,3,GOLD,
original_full_sample,60,2021-07-01,3,1946-06-01,3,Enrgy,-15.471174073007997
original_full_sample,60,2021-07-01,3,1946-06-01,3,BusEq,-36.61481540896061
original_full_sample,60,2021-07-01,3,1946-06-01,3,Telcm,-34.57915979873653
original_full_sample,60,2021-07-01,3,1946-06-01,5,MKT,6.075113641893348
original_full_sample,60,2021-07-01,3,1946-06-01,5,CASH,-24.462385008844777
original_full_sample,60,2021-07-01,3,1946-06-01,5,GOLD,
original_full_sample,60,2021-07-01,3,1946-06-01,5,Enrgy,56.692146571940924
original_full_sample,60,2021-07-01,3,1946-06-01,5,BusEq,3.010087623244706
original_full_sample,60,2021-07-01,3,1946-06-01,5,Telcm,-23.19481645469389
original_full_sample,60,2021-07-01,4,2001-02-01,1,MKT,-9.593684358382603
original_full_sample,60,2021-07-01,4,2001-02-01,1,CASH,1.9938420934441758
original_full_sample,60,2021-07-01,4,2001-02-01,1,GOLD,11.706265724418085
original_full_sample,60,2021-07-01,4,2001-02-01,1,Enrgy,-2.49205059987897
original_full_sample,60,2021-07-01,4,2001-02-01,1,BusEq,-25.759744433750132
original_full_sample,60,2021-07-01,4,2001-02-01,1,Telcm,-27.486965789816054
original_full_sample,60,2021-07-01,4,2001-02-01,3,MKT,-3.7017695291019614
original_full_sample,60,2021-07-01,4,2001-02-01,3,CASH,-0.14327893114186585
original_full_sample,60,2021-07-01,4,2001-02-01,3,GOLD,45.946245111142204
original_full_sample,60,2021-07-01,4,2001-02-01,3,Enrgy,10.799874239067142
original_full_sample,60,2021-07-01,4,2001-02-01,3,BusEq,-23.542724107439984
original_full_sample,60,2021-07-01,4,2001-02-01,3,Telcm,-38.31014553012236
original_full_sample,60,2021-07-01,4,2001-02-01,5,MKT,6.868658949673434
original_full_sample,60,2021-07-01,4,2001-02-01,5,CASH,-1.9471927287747604
original_full_sample,60,2021-07-01,4,2001-02-01,5,GOLD,87.4186025962651
original_full_sample,60,2021-07-01,4,2001-02-01,5,Enrgy,80.1554923491032
original_full_sample,60,2021-07-01,4,2001-02-01,5,BusEq,-22.836449634519163
original_full_sample,60,2021-07-01,4,2001-02-01,5,Telcm,-37.52424146606894
original_full_sample,60,2021-07-01,5,1996-02-01,1,MKT,18.604654126828457
original_full_sample,60,2021-07-01,5,1996-02-01,1,CASH,2.1222686496135124
original_full_sample,60,2021-07-01,5,1996-02-01,1,GOLD,-16.844116463999516
original_full_sample,60,2021-07-01,5,1996-02-01,1,Enrgy,21.141218254633507
original_full_sample,60,2021-07-01,5,1996-02-01,1,BusEq,17.85330680181525
original_full_sample,60,2021-07-01,5,1996-02-01,1,Telcm,2.479060508796871
original_full_sample,60,2021-07-01,5,1996-02-01,3,MKT,78.1209822178671
original_full_sample,60,2021-07-01,5,1996-02-01,3,CASH,9.194591522838213
original_full_sample,60,2021-07-01,5,1996-02-01,3,GOLD,-33.27134226425006
original_full_sample,60,2021-07-01,5,1996-02-01,3,Enrgy,29.91949602595203
original_full_sample,60,2021-07-01,5,1996-02-01,3,BusEq,127.244825363975
original_full_sample,60,2021-07-01,5,1996-02-01,3,Telcm,109.6159617379434
original_full_sample,60,2021-07-01,5,1996-02-01,5,MKT,73.13081304787414
original_full_sample,60,2021-07-01,5,1996-02-01,5,CASH,13.506486291213537
original_full_sample,60,2021-07-01,5,1996-02-01,5,GOLD,-42.99948032977993
original_full_sample,60,2021-07-01,5,1996-02-01,5,Enrgy,87.18473632078529
original_full_sample,60,2021-07-01,5,1996-02-01,5,BusEq,102.87674607905544
original_full_sample,60,2021-07-01,5,1996-02-01,5,Telcm,55.17773246865892
original_full_sample,60,2021-07-01,6,1966-05-01,1,MKT,6.837466747563337
original_full_sample,60,2021-07-01,6,1966-05-01,1,CASH,1.8802398410082022
original_full_sample,60,2021-07-01,6,1966-05-01,1,GOLD,
original_full_sample,60,2021-07-01,6,1966-05-01,1,Enrgy,5.079190140507839
original_full_sample,60,2021-07-01,6,1966-05-01,1,BusEq,25.466225132368002
original_full_sample,60,2021-07-01,6,1966-05-01,1,Telcm,5.76426246022792
original_full_sample,60,2021-07-01,6,1966-05-01,3,MKT,23.76971433894026
original_full_sample,60,2021-07-01,6,1966-05-01,3,CASH,2.5316919613763034
original_full_sample,60,2021-07-01,6,1966-05-01,3,GOLD,
original_full_sample,60,2021-07-01,6,1966-05-01,3,Enrgy,42.93093003046919
original_full_sample,60,2021-07-01,6,1966-05-01,3,BusEq,45.281042833516594
original_full_sample,60,2021-07-01,6,1966-05-01,3,Telcm,4.910549549497212
original_full_sample,60,2021-07-01,6,1966-05-01,5,MKT,11.860318087403288
original_full_sample,60,2021-07-01,6,1966-05-01,5,CASH,4.207625801505266
original_full_sample,60,2021-07-01,6,1966-05-01,5,GOLD,
original_full_sample,60,2021-07-01,6,1966-05-01,5,Enrgy,15.244825461607858
original_full_sample,60,2021-07-01,6,1966-05-01,5,BusEq,22.49704634732106
original_full_sample,60,2021-07-01,6,1966-05-01,5,Telcm,-11.252280392100744
original_full_sample,60,2021-07-01,7,2014-07-01,1,MKT,11.206016761981473
original_full_sample,60,2021-07-01,7,2014-07-01,1,CASH,-0.16760946993504833
original_full_sample,60,2021-07-01,7,2014-07-01,1,GOLD,-14.10302325101963
original_full_sample,60,2021-07-01,7,2014-07-01,1,Enrgy,-28.929203811496805
original_full_sample,60,2021-07-01,7,2014-07-01,1,BusEq,11.269660281481265
original_full_sample,60,2021-07-01,7,2014-07-01,1,Telcm,7.285548711668488
original_full_sample,60,2021-07-01,7,2014-07-01,3,MKT,32.42381238786567
original_full_sample,60,2021-07-01,7,2014-07-01,3,CASH,-2.1154342615187116
original_full_sample,60,2021-07-01,7,2014-07-01,3,GOLD,-8.165419828244202
original_full_sample,60,2021-07-01,7,2014-07-01,3,Enrgy,-28.111406057664247
original_full_sample,60,2021-07-01,7,2014-07-01,3,BusEq,49.601732085011285
original_full_sample,60,2021-07-01,7,2014-07-01,3,Telcm,23.815426501918637
original_full_sample,60,2021-07-01,7,2014-07-01,5,MKT,58.70441541370086
original_full_sample,60,2021-07-01,7,2014-07-01,5,CASH,-3.189167361896794
original_full_sample,60,2021-07-01,7,2014-07-01,5,GOLD,0.08442657844303092
original_full_sample,60,2021-07-01,7,2014-07-01,5,Enrgy,-30.348872357136724
original_full_sample,60,2021-07-01,7,2014-07-01,5,BusEq,107.3008223222173
original_full_sample,60,2021-07-01,7,2014-07-01,5,Telcm,35.12900037997899
original_full_sample,60,2021-07-01,8,1973-02-01,1,MKT,-20.56213142460168
original_full_sample,60,2021-07-01,8,1973-02-01,1,CASH,-2.462510138641283
original_full_sample,60,2021-07-01,8,1973-02-01,1,GOLD,84.23614292258361
original_full_sample,60,2021-07-01,8,1973-02-01,1,Enrgy,-6.558546780874019
