indicator,horizon_months,event,signal_month,split,signal_value,alarm,outcome,first_event_month,lead_months
sahm_050,12,recession_present_or_onset,2008-05,holdout_2000plus,0.5,1,1,2008-05,0.0
sahm_050,12,recession_present_or_onset,2020-05,holdout_2000plus,4.0,1,0,,
sahm_050,12,recession_present_or_onset,2024-08,holdout_2000plus,0.53,1,0,,
sahm_050,12,equity_entry_loss_20,1960-09,training_pre2000,0.53,1,0,,
sahm_050,12,equity_entry_loss_20,1969-11,training_pre2000,0.5,1,1,1970-05,6.0
sahm_050,12,equity_entry_loss_20,1974-04,training_pre2000,0.5,1,1,1974-09,5.0
sahm_050,12,equity_entry_loss_20,1976-12,training_pre2000,0.5,1,0,,
sahm_050,12,equity_entry_loss_20,1980-05,training_pre2000,0.67,1,0,,
sahm_050,12,equity_entry_loss_20,1981-12,training_pre2000,0.8,1,0,,
sahm_050,12,equity_entry_loss_20,1990-12,training_pre2000,0.5,1,0,,
sahm_050,12,equity_entry_loss_20,2001-07,holdout_2000plus,0.53,1,1,2002-07,12.0
sahm_050,12,equity_entry_loss_20,2008-05,holdout_2000plus,0.5,1,1,2008-10,5.0
sahm_050,12,equity_entry_loss_20,2020-05,holdout_2000plus,4.0,1,0,,
sahm_050,12,equity_entry_loss_20,2024-08,holdout_2000plus,0.53,1,0,,
sahm_050,12,equity_peak_drawdown_20,1960-09,training_pre2000,0.53,1,0,,
sahm_050,12,equity_peak_drawdown_20,1969-11,training_pre2000,0.5,1,1,1970-05,6.0
sahm_050,12,equity_peak_drawdown_20,1974-04,training_pre2000,0.5,1,1,1974-09,5.0
sahm_050,12,equity_peak_drawdown_20,1976-12,training_pre2000,0.5,1,0,,
sahm_050,12,equity_peak_drawdown_20,1980-05,training_pre2000,0.67,1,0,,
sahm_050,12,equity_peak_drawdown_20,1981-12,training_pre2000,0.8,1,0,,
sahm_050,12,equity_peak_drawdown_20,1990-12,training_pre2000,0.5,1,0,,
sahm_050,12,equity_peak_drawdown_20,2001-07,holdout_2000plus,0.53,1,1,2002-07,12.0
sahm_050,12,equity_peak_drawdown_20,2008-05,holdout_2000plus,0.5,1,1,2008-10,5.0
sahm_050,12,equity_peak_drawdown_20,2020-05,holdout_2000plus,4.0,1,0,,
sahm_050,12,equity_peak_drawdown_20,2024-08,holdout_2000plus,0.53,1,0,,
sahm_050,12,inflation_onset_400,1960-09,training_pre2000,0.53,1,0,,
sahm_050,12,inflation_onset_400,2001-07,holdout_2000plus,0.53,1,0,,
sahm_050,12,inflation_onset_400,2020-05,holdout_2000plus,4.0,1,1,2021-04,11.0
sahm_050,12,inflation_onset_400,2024-08,holdout_2000plus,0.53,1,0,,
sahm_050,12,credit_onset_300,1990-12,training_pre2000,0.5,1,0,,
