indicator,horizon_months,event,split,eligible_months,first_signal_month,last_signal_month,unconditional_event_probability,nonalarm_event_probability,n_alarm_episodes,episode_hits,episode_false_alarms,episode_hit_rate,episode_false_alarm_fraction,false_alarm_wilson_95_low,false_alarm_wilson_95_high,lead_months_median,lead_months_min,lead_months_max,classical_fp_months,classical_tn_months,classical_fpr,classical_tp_months,classical_fn_months,monthly_sensitivity,note
curve_inverted,12,equity_entry_loss_20,all,859,1954-02,2025-08,0.06635622817229336,0.051181102362204724,10,2,8,0.2,0.8,0.49015684672072335,0.9433190520193067,12.0,12.0,12.0,79,723,0.09850374064837905,18,39,0.3157894736842105,Revised-history pseudo-OOS; overlapping monthly windows. Episode intervals assume independence only approximately.
curve_inverted,12,equity_entry_loss_20,training_pre2000,539,1954-02,1998-12,0.04823747680890538,0.026748971193415638,6,1,5,0.16666666666666666,0.8333333333333334,0.43649056343635395,0.9699474141282697,12.0,12.0,12.0,40,473,0.07797270955165692,13,13,0.5,Revised-history pseudo-OOS; overlapping monthly windows. Episode intervals assume independence only approximately.
curve_inverted,12,equity_entry_loss_20,holdout_2000plus,308,2000-01,2025-08,0.10064935064935066,0.09848484848484848,4,1,3,0.25,0.75,0.3006360524426366,0.9544139373553637,12.0,12.0,12.0,39,238,0.1407942238267148,5,26,0.16129032258064516,Revised-history pseudo-OOS; overlapping monthly windows. Episode intervals assume independence only approximately.
curve_inverted,12,equity_peak_drawdown_20,all,859,1954-02,2025-08,0.0919674039580908,0.07874015748031496,10,2,8,0.2,0.8,0.49015684672072335,0.9433190520193067,12.0,12.0,12.0,78,702,0.1,19,60,0.24050632911392406,Revised-history pseudo-OOS; overlapping monthly windows. Episode intervals assume independence only approximately.
curve_inverted,12,equity_peak_drawdown_20,training_pre2000,539,1954-02,1998-12,0.07421150278293136,0.053497942386831275,6,1,5,0.16666666666666666,0.8333333333333334,0.43649056343635395,0.9699474141282697,12.0,12.0,12.0,39,460,0.0781563126252505,14,26,0.35,Revised-history pseudo-OOS; overlapping monthly windows. Episode intervals assume independence only approximately.
curve_inverted,12,equity_peak_drawdown_20,holdout_2000plus,308,2000-01,2025-08,0.1266233766233766,0.12878787878787878,4,1,3,0.25,0.75,0.3006360524426366,0.9544139373553637,12.0,12.0,12.0,39,230,0.1449814126394052,5,34,0.1282051282051282,Revised-history pseudo-OOS; overlapping monthly windows. Episode intervals assume independence only approximately.
curve_inverted,12,inflation_onset_400,all,583,1955-01,2024-09,0.16638078902229847,0.16574585635359115,4,0,4,0.0,1.0,0.5100999795960008,1.0,,,,33,453,0.06790123456790123,7,90,0.07216494845360824,Revised-history pseudo-OOS; overlapping monthly windows. Episode intervals assume independence only approximately.
curve_inverted,12,inflation_onset_400,training_pre2000,314,1955-01,1998-12,0.16878980891719744,0.1715210355987055,1,0,1,0.0,1.0,0.20654329147389294,1.0,,,,5,256,0.019157088122605363,0,53,0.0,Revised-history pseudo-OOS; overlapping monthly windows. Episode intervals assume independence only approximately.
curve_inverted,12,inflation_onset_400,holdout_2000plus,257,2000-01,2024-09,0.17120622568093385,0.16666666666666666,3,0,3,0.0,1.0,0.43849391955098227,1.0,,,,28,185,0.13145539906103287,7,37,0.1590909090909091,Revised-history pseudo-OOS; overlapping monthly windows. Episode intervals assume independence only approximately.
curve_inverted,12,recession_onset,all,752,1954-06,2025-08,0.1595744680851064,0.1142433234421365,9,5,4,0.5555555555555556,0.4444444444444444,0.188775429471914,0.7333526542559703,8.0,5.0,11.0,35,597,0.055379746835443035,43,77,0.35833333333333334,Revised-history pseudo-OOS; overlapping monthly windows. Episode intervals assume independence only approximately.
