signal_month,claims_rise_20pct,sahm_050,curve_inverted,baa_level_300,baa_widening_100,nfci_positive,inflation_surge,inflation_400,cpi_yoy_change_12m
1985-09,10.182063385030338,0.0,3.1900000000000004,,,-0.145,3.3524904214559337,3.3524904214559337,-0.9432138742483831
1985-10,9.440323668240058,-0.07,3.2699999999999996,,,-0.142,3.2473734479465,3.2473734479465,-1.0354950779499106
1985-11,5.799055967633171,-0.07,3.08,,,-0.27,3.2350142721217834,3.2350142721217834,-1.0308587437512395
1985-12,3.9109912339851727,0.0,2.539999999999999,,,-0.33,3.5137701804368593,3.5137701804368593,-0.6405324901862963
1986-01,0.0,-0.07,2.16,2.29,,-0.266,3.791469194312791,3.791469194312791,-0.25192331061816287
1986-02,3.2122905027933024,-0.13,2.119999999999999,2.49,,-0.259,3.9735099337748325,3.9735099337748325,0.4475549876435725
1986-03,6.913407821229045,0.1,1.6399999999999997,2.92,,-0.299,3.19849482596426,3.19849482596426,-0.4077429907998864
1986-04,7.751396648044695,0.2,1.2200000000000006,2.78,0.48999999999999977,-0.335,2.1535580524344455,2.1535580524344455,-1.6365294111224005
1986-05,7.4022346368715075,0.33,1.2400000000000002,2.36,-0.13000000000000034,-0.421,1.5887850467289688,1.5887850467289688,-1.9930155341035594
1986-06,3.4916201117318524,0.33,1.5599999999999996,2.81,-0.10999999999999988,-0.475,1.679104477611948,1.679104477611948,-1.8957747494412036
1986-07,1.1173184357541999,0.3,1.5899999999999999,2.91,0.13000000000000034,-0.444,1.7674418604651132,1.7674418604651132,-1.8969747258415381
1986-08,13.198324022346375,0.23,1.4699999999999998,3.07,0.71,-0.492,1.671309192200554,1.671309192200554,-1.786904064283612
1986-09,10.474860335195535,0.07,1.6399999999999997,2.75,-0.06000000000000005,-0.587,1.575532900834098,1.575532900834098,-1.7769575206218358
1986-10,7.05307262569832,0.03,2.24,2.82,-0.0900000000000003,-0.552,1.757631822386685,1.757631822386685,-1.489741625559815
1986-11,1.3966480446927276,0.07,2.25,2.85,-0.21999999999999975,-0.541,1.5668202764977046,1.5668202764977046,-1.6681939956240788
1986-12,0.06983240223463749,0.13,1.9000000000000004,2.76,0.009999999999999787,-0.551,1.2844036697247763,1.2844036697247763,-2.229366510712083
1987-01,3.537214443625647,-0.07,1.58,2.5,-0.31999999999999984,-0.511,1.187214611872145,1.187214611872145,-2.604254582440646
1987-02,2.8002947678702927,-0.07,1.6500000000000004,2.43,-0.41999999999999993,-0.486,1.364877161055511,1.364877161055511,-2.6086327727193215
1987-03,0.0,-0.07,1.6600000000000001,2.19,-0.5699999999999998,-0.434,1.9143117593436676,1.9143117593436676,-1.2841830666205922
1987-04,1.4328808446455454,-0.03,1.6600000000000001,2.16,-0.33999999999999986,-0.171,2.8414298808432603,2.8414298808432603,0.6878718284088148
1987-05,0.8371385083713934,-0.13,2.38,2.08,-0.3500000000000001,0.31,3.679852805887762,3.679852805887762,2.0910677591587934
1987-06,0.0,-0.13,2.9499999999999993,2.12,-0.06999999999999984,0.623,3.669724770642202,3.669724770642202,1.9906202930302541
1987-07,0.0,-0.17,2.7300000000000004,2.11,-0.050000000000000266,0.427,3.7477148080438782,3.7477148080438782,1.980272947578765
1987-08,0.2349256068911565,-0.1,2.759999999999999,1.92,-0.16000000000000014,0.052,3.926940639269394,3.926940639269394,2.25563144706884
1987-09,0.0,-0.1,2.7199999999999998,1.91,-0.2100000000000002,0.042,4.2883211678832245,4.2883211678832245,2.7127882670491266
1987-10,0.0,-0.07,3.0199999999999996,2.45,0.3400000000000003,0.494,4.2727272727272725,4.2727272727272725,2.5150954503405876
1987-11,3.2828282828282873,0.0,3.3899999999999997,2.24,0.3200000000000003,1.104,4.355716878402904,4.355716878402904,2.7888966019051997
1987-12,7.3232323232323315,-0.03,3.169999999999999,2.39,0.4800000000000002,1.112,4.528985507246386,4.528985507246386,3.2445818375216096
1988-01,14.730639730639727,-0.03,3.2200000000000006,2.51,0.05999999999999961,0.836,4.332129963898912,4.332129963898912,3.144915352026767
1988-02,7.3232323232323315,-0.07,2.8600000000000003,2.37,0.1299999999999999,0.367,4.129263913824044,4.129263913824044,2.764386752768533
1988-03,2.8619528619528545,-0.07,2.5500000000000007,2.19,-0.20000000000000018,0.138,3.9355992844364973,3.9355992844364973,2.0212875250928297
